[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]   89    0    0   14 / 1000     3.2s test_prop_MultiPreserve (collecting)
[ ]  111    0    0   17 / 1000     4.1s test_prop_MultiPreserve (collecting)
[ ]  112    0    0   17 / 1000     4.2s test_prop_MultiPreserve (collecting)
[ ]  127    0    0   18 / 1000     5.0s test_prop_MultiPreserve (collecting)
[ ]  142    0    0   18 / 1000     5.2s test_prop_MultiPreserve (collecting)
[ ]  145    0    0   18 / 1000     7.6s test_prop_MultiPreserve (collecting)
[ ]  155    0    0   19 / 1000    10.2s test_prop_MultiPreserve (collecting)
[ ]  162    0    0   19 / 1000    10.9s test_prop_MultiPreserve (collecting)
[ ]  178    0    0   20 / 1000    11.1s test_prop_MultiPreserve (collecting)
[ ]  181    0    0   20 / 1000    11.3s test_prop_MultiPreserve (collecting)
[ ]  210    0    0   23 / 1000    11.4s test_prop_MultiPreserve (collecting)
[ ]  224    0    0   26 / 1000    12.2s test_prop_MultiPreserve (collecting)
[ ]  226    0    0   26 / 1000    12.4s test_prop_MultiPreserve (collecting)
[ ]  244    0    0   26 / 1000    12.5s test_prop_MultiPreserve (collecting)
[ ]  253    0    0   27 / 1000    15.0s test_prop_MultiPreserve (collecting)
[ ]  272    0    0   31 / 1000    15.8s test_prop_MultiPreserve (collecting)
[ ]  287    0    0   33 / 1000    16.8s test_prop_MultiPreserve (collecting)
[ ]  304    0    0   35 / 1000    17.9s test_prop_MultiPreserve (collecting)
[ ]  319    0    0   36 / 1000    18.0s test_prop_MultiPreserve (collecting)
[ ]  321    0    0   36 / 1000    20.6s test_prop_MultiPreserve (collecting)
[ ]  324    0    0   36 / 1000    20.7s test_prop_MultiPreserve (collecting)
[ ]  326    0    0   36 / 1000    21.3s test_prop_MultiPreserve (collecting)
[ ]  333    0    0   36 / 1000    22.4s test_prop_MultiPreserve (collecting)
[ ]  372    0    0   40 / 1000    22.5s test_prop_MultiPreserve (collecting)
[ ]  378    0    0   40 / 1000    22.8s test_prop_MultiPreserve (collecting)
[ ]  387    0    0   41 / 1000    22.9s test_prop_MultiPreserve (collecting)
[ ]  410    0    0   43 / 1000    23.8s test_prop_MultiPreserve (collecting)
[ ]  412    0    0   43 / 1000    23.9s test_prop_MultiPreserve (collecting)
[ ]  456    0    0   47 / 1000    24.0s test_prop_MultiPreserve (collecting)
[ ]  471    0    0   48 / 1000    24.4s test_prop_MultiPreserve (collecting)
[ ]  487    0    0   49 / 1000    24.5s test_prop_MultiPreserve (collecting)
[ ]  501    0    0   50 / 1000    27.0s test_prop_MultiPreserve (collecting)
[ ]  507    0    0   50 / 1000    27.7s test_prop_MultiPreserve (collecting)
[ ]  532    0    0   51 / 1000    27.8s test_prop_MultiPreserve (collecting)
[ ]  558    0    0   53 / 1000    27.9s test_prop_MultiPreserve (collecting)
[ ]  620    0    0   58 / 1000    28.0s test_prop_MultiPreserve (collecting)
[ ]  628    0    0   59 / 1000    28.1s test_prop_MultiPreserve (collecting)
[ ]  631    0    0   59 / 1000    30.6s test_prop_MultiPreserve (collecting)
[ ]  641    0    0   60 / 1000    30.8s test_prop_MultiPreserve (collecting)
[ ]  685    0    0   62 / 1000    31.6s test_prop_MultiPreserve (collecting)
[ ]  726    0    0   71 / 1000    32.5s test_prop_MultiPreserve (collecting)
