[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]  420    0    0   36 / 1000    15.5s test_prop_SinglePreserve (collecting)
[ ]  423    0    0   36 / 1000    17.9s test_prop_SinglePreserve (collecting)
[ ]  425    0    0   36 / 1000    20.3s test_prop_SinglePreserve (collecting)
[ ]  439    0    0   36 / 1000    20.4s test_prop_SinglePreserve (collecting)
[ ]  446    0    0   37 / 1000    20.6s test_prop_SinglePreserve (collecting)
[ ]  469    0    0   39 / 1000    22.9s test_prop_SinglePreserve (collecting)
[ ]  483    0    0   39 / 1000    23.0s test_prop_SinglePreserve (collecting)
[ ]  504    0    0   39 / 1000    23.4s test_prop_SinglePreserve (collecting)
[ ]  535    0    0   41 / 1000    23.5s test_prop_SinglePreserve (collecting)
[ ]  538    0    0   41 / 1000    23.9s test_prop_SinglePreserve (collecting)
[ ]  540    0    0   41 / 1000    24.3s test_prop_SinglePreserve (collecting)
[ ]  546    0    0   41 / 1000    24.5s test_prop_SinglePreserve (collecting)
[ ]  579    0    0   43 / 1000    24.6s test_prop_SinglePreserve (collecting)
[ ]  584    0    0   43 / 1000    24.9s test_prop_SinglePreserve (collecting)
[ ]  586    0    0   43 / 1000    27.2s test_prop_SinglePreserve (collecting)
[ ]  617    0    0   46 / 1000    29.4s test_prop_SinglePreserve (collecting)
[ ]  618    0    0   46 / 1000    30.2s test_prop_SinglePreserve (collecting)
[ ]  619    0    0   46 / 1000    31.1s test_prop_SinglePreserve (collecting)
[ ]  622    0    0   46 / 1000    33.3s test_prop_SinglePreserve (collecting)
[ ]  642    0    0   48 / 1000    34.2s test_prop_SinglePreserve (collecting)
[ ]  654    0    0   49 / 1000    34.4s test_prop_SinglePreserve (collecting)
[ ]  655    0    0   49 / 1000   175.3s test_prop_SinglePreserve (collecting)
[ ]  690    0    0   51 / 1000   175.4s test_prop_SinglePreserve (collecting)
[ ]  720    0    0   53 / 1000   175.5s test_prop_SinglePreserve (collecting)
[ ]  724    0    0   53 / 1000   175.6s test_prop_SinglePreserve (collecting)
[ ]  726    0    0   53 / 1000   175.9s test_prop_SinglePreserve (collecting)
[ ]  731    0    0   54 / 1000   176.4s test_prop_SinglePreserve (collecting)
[ ]  785    0    0   59 / 1000   176.5s test_prop_SinglePreserve (collecting)
[ ]  834    0    0   65 / 1000   176.8s test_prop_SinglePreserve (collecting)
[ ]  870    0    0   66 / 1000   176.9s test_prop_SinglePreserve (collecting)
[ ]  917    0    0   68 / 1000   177.0s test_prop_SinglePreserve (collecting)
[ ]  923    0    0   68 / 1000   179.3s test_prop_SinglePreserve (collecting)
[ ]  947    0    0   71 / 1000   179.5s test_prop_SinglePreserve (collecting)
[ ]  959    0    0   72 / 1000   180.3s test_prop_SinglePreserve (collecting)
[ ]  969    0    0   72 / 1000   180.4s test_prop_SinglePreserve (collecting)
[ ]  974    0    0   72 / 1000   243.5s test_prop_SinglePreserve (collecting)
[ ]  988    0    0   72 / 1000   243.6s test_prop_SinglePreserve (collecting)
[ ]  989    0    0   72 / 1000   244.3s test_prop_SinglePreserve (collecting)
[ ] 1014    0    0   74 / 1000   244.5s test_prop_SinglePreserve (collecting)
[ ] 1042    0    0   76 / 1000   245.5s test_prop_SinglePreserve (collecting)
[ ] 1045    0    0   76 / 1000   247.7s test_prop_SinglePreserve (collecting)
[ ] 1076    0    0   78 / 1000   248.0s test_prop_SinglePreserve (collecting)
[ ] 1082    0    0   80 / 1000   248.4s test_prop_SinglePreserve (collecting)
[ ] 1085    0    0   81 / 1000   249.3s test_prop_SinglePreserve (collecting)
[ ] 1112    0    0   85 / 1000   249.4s test_prop_SinglePreserve (collecting)
[ ] 1152    0    0   87 / 1000   249.5s test_prop_SinglePreserve (collecting)
[ ] 1165    0    0   87 / 1000   249.8s test_prop_SinglePreserve (collecting)
[ ] 1167    0    0   88 / 1000   250.4s test_prop_SinglePreserve (collecting)
[ ] 1184    0    0   91 / 1000   250.7s test_prop_SinglePreserve (collecting)
[✓] 1200    0    0   92 / 1000   250.7s test_prop_SinglePreserve
================================================================================
success (ran 1 tests)
|prop_SinglePreserve -> 51225.99]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]   29    0    0    1 / 1000     2.2s test_prop_SinglePreserve (collecting)
[ ]   59    0    0    4 / 1000     2.4s test_prop_SinglePreserve (collecting)
[ ]   94    0    0    6 / 1000     2.6s test_prop_SinglePreserve (collecting)
[ ]  123    0    0    7 / 1000     2.7s test_prop_SinglePreserve (collecting)
[ ]  138    0    0    7 / 1000     2.8s test_prop_SinglePreserve (collecting)
[ ]  139    0    0    7 / 1000    49.3s test_prop_SinglePreserve (collecting)
[ ]  140    0    0    7 / 1000    49.8s test_prop_SinglePreserve (collecting)
[ ]  148    0    0    7 / 1000    50.1s test_prop_SinglePreserve (collecting)
[ ]  153    0    0    7 / 1000    50.4s test_prop_SinglePreserve (collecting)
[ ]  159    0    0    7 / 1000    51.0s test_prop_SinglePreserve (collecting)
[ ]  166    0    0    8 / 1000    51.7s test_prop_SinglePreserve (collecting)
[ ]  194    0    0   12 / 1000    51.8s test_prop_SinglePreserve (collecting)
[ ]  200    0    0   12 / 1000    51.9s test_prop_SinglePreserve (collecting)
[ ]  220    0    0   13 / 1000    52.0s test_prop_SinglePreserve (collecting)
[ ]  221    0    0   13 / 1000    52.7s test_prop_SinglePreserve (collecting)
[ ]  222    0    0   13 / 1000    53.0s test_prop_SinglePreserve (collecting)
[ ]  224    0    0   13 / 1000    53.7s test_prop_SinglePreserve (collecting)
[ ]  250    0    0   14 / 1000    53.8s test_prop_SinglePreserve (collecting)
[ ]  255    0    0   14 / 1000    54.1s test_prop_SinglePreserve (collecting)
[ ]  280    0    0   17 / 1000    54.2s test_prop_SinglePreserve (collecting)
[ ]  286    0    0   17 / 1000    56.4s test_prop_SinglePreserve (collecting)
[ ]  311    0    0   18 / 1000    56.5s test_prop_SinglePreserve (collecting)
[ ]  335    0    0   20 / 1000    56.6s test_prop_SinglePreserve (collecting)
[ ]  346    0    0   21 / 1000    56.8s test_prop_SinglePreserve (collecting)
[ ]  353    0    0   21 / 1000    59.5s test_prop_SinglePreserve (collecting)
[ ]  357    0    0   22 / 1000    59.6s test_prop_SinglePreserve (collecting)
[ ]  362    0    0   22 / 1000    59.8s test_prop_SinglePreserve (collecting)
[ ]  365    0    0   22 / 1000    62.2s test_prop_SinglePreserve (collecting)
[ ]  395    0    0   22 / 1000    63.2s test_prop_SinglePreserve (collecting)
[ ]  409    0    0   25 / 1000    64.0s test_prop_SinglePreserve (collecting)
[ ]  426    0    0   26 / 1000    64.7s test_prop_SinglePreserve (collecting)
[ ]  455    0    0   28 / 1000    64.8s test_prop_SinglePreserve (collecting)
[ ]  488    0    0   30 / 1000    64.9s test_prop_SinglePreserve (collecting)
[ ]  491    0    0   31 / 1000    65.0s test_prop_SinglePreserve (collecting)
[ ]  519    0    0   33 / 1000    65.4s test_prop_SinglePreserve (collecting)
[ ]  539    0    0   34 / 1000    65.5s test_prop_SinglePreserve (collecting)
[ ]  562    0    0   37 / 1000    66.3s test_prop_SinglePreserve (collecting)
[ ]  595    0    0   40 / 1000   103.2s test_prop_SinglePreserve (collecting)
[ ]  671    0    0   44 / 1000   103.3s test_prop_SinglePreserve (collecting)
[ ]  703    0    0   46 / 1000   103.4s test_prop_SinglePreserve (collecting)
[ ]  744    0    0   52 / 1000   104.3s test_prop_SinglePreserve (collecting)
[ ]  746    0    0   52 / 1000   104.4s test_prop_SinglePreserve (collecting)
[ ]  756    0    0   53 / 1000   104.5s test_prop_SinglePreserve (collecting)
[ ]  779    0    0   54 / 1000   105.3s test_prop_SinglePreserve (collecting)
[ ]  816    0    0   61 / 1000   105.6s test_prop_SinglePreserve (collecting)
[ ]  831    0    0   62 / 1000   108.0s test_prop_SinglePreserve (collecting)
[ ]  843    0    0   63 / 1000   110.4s test_prop_SinglePreserve (collecting)
[ ]  863    0    0   64 / 1000   110.6s test_prop_SinglePreserve (collecting)
[ ]  873    0    0   64 / 1000   111.1s test_prop_SinglePreserve (collecting)
[ ]  907    0    0   66 / 1000   111.2s test_prop_SinglePreserve (collecting)
[ ]  934    0    0   66 / 1000   111.3s test_prop_SinglePreserve (collecting)
[ ]  935    0    0   66 / 1000   113.6s test_prop_SinglePreserve (collecting)
[ ]  949    0    0   69 / 1000   113.7s test_prop_SinglePreserve (collecting)
[ ]  956    0    0   70 / 1000   114.4s test_prop_SinglePreserve (collecting)
[ ]  972    0    0   72 / 1000   115.3s test_prop_SinglePreserve (collecting)
[ ]  976    0    0   72 / 1000   115.5s test_prop_SinglePreserve (collecting)
[ ] 1002    0    0   75 / 1000   115.9s test_prop_SinglePreserve (collecting)
[ ] 1007    0    0   75 / 1000   116.2s test_prop_SinglePreserve (collecting)
[ ] 1017    0    0   75 / 1000   116.3s test_prop_SinglePreserve (collecting)
[ ] 1031    0    0   77 / 1000   117.1s test_prop_SinglePreserve (collecting)
[ ] 1034    0    0   77 / 1000   119.6s test_prop_SinglePreserve (collecting)
[ ] 1046    0    0   77 / 1000   119.7s test_prop_SinglePreserve (collecting)
[ ] 1058    0    0   78 / 1000   119.8s test_prop_SinglePreserve (collecting)
[ ] 1064    0    0   78 / 1000   120.0s test_prop_SinglePreserve (collecting)
[ ] 1083    0    0   79 / 1000   120.1s test_prop_SinglePreserve (collecting)
[ ] 1086    0    0   79 / 1000   122.6s test_prop_SinglePreserve (collecting)
[ ] 1099    0    0   79 / 1000   122.7s test_prop_SinglePreserve (collecting)
[ ] 1107    0    0   80 / 1000   123.3s test_prop_SinglePreserve (collecting)
[ ] 1116    0    0   80 / 1000   124.2s test_prop_SinglePreserve (collecting)
[ ] 1128    0    0   80 / 1000   124.3s test_prop_SinglePreserve (collecting)
