[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]  855    0    0   60 / 1000    35.0s test_prop_SinglePreserve (collecting)
[ ]  859    0    0   60 / 1000    37.2s test_prop_SinglePreserve (collecting)
[ ]  873    0    0   61 / 1000    37.3s test_prop_SinglePreserve (collecting)
[ ]  887    0    0   62 / 1000    38.3s test_prop_SinglePreserve (collecting)
[ ]  924    0    0   67 / 1000    38.4s test_prop_SinglePreserve (collecting)
[ ]  930    0    0   68 / 1000    38.5s test_prop_SinglePreserve (collecting)
[ ]  950    0    0   69 / 1000    38.7s test_prop_SinglePreserve (collecting)
[ ]  980    0    0   71 / 1000    38.8s test_prop_SinglePreserve (collecting)
[ ]  983    0    0   71 / 1000    39.0s test_prop_SinglePreserve (collecting)
[ ]  989    0    0   73 / 1000    39.2s test_prop_SinglePreserve (collecting)
[ ] 1034    0    0   74 / 1000    39.3s test_prop_SinglePreserve (collecting)
[ ] 1040    0    0   74 / 1000    41.7s test_prop_SinglePreserve (collecting)
[ ] 1047    0    0   74 / 1000    41.8s test_prop_SinglePreserve (collecting)
[ ] 1062    0    0   77 / 1000    41.9s test_prop_SinglePreserve (collecting)
[ ] 1072    0    0   77 / 1000    42.4s test_prop_SinglePreserve (collecting)
[ ] 1121    0    0   77 / 1000    42.5s test_prop_SinglePreserve (collecting)
[ ] 1129    0    0   79 / 1000    44.9s test_prop_SinglePreserve (collecting)
[ ] 1136    0    0   79 / 1000    47.8s test_prop_SinglePreserve (collecting)
[ ] 1141    0    0   79 / 1000    47.9s test_prop_SinglePreserve (collecting)
[ ] 1147    0    0   81 / 1000    48.9s test_prop_SinglePreserve (collecting)
[ ] 1162    0    0   83 / 1000    49.0s test_prop_SinglePreserve (collecting)
[ ] 1171    0    0   84 / 1000    49.1s test_prop_SinglePreserve (collecting)
[ ] 1173    0    0   84 / 1000    49.4s test_prop_SinglePreserve (collecting)
[ ] 1182    0    0   84 / 1000    49.6s test_prop_SinglePreserve (collecting)
[✓] 1200    0    0   85 / 1000    49.7s test_prop_SinglePreserve
================================================================================
success (ran 1 tests)
|prop_SinglePreserve -> 49662.41]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]   12    0    0    0 / 1000     0.8s test_prop_SinglePreserve (collecting)
[ ]   21    0    0    1 / 1000     1.5s test_prop_SinglePreserve (collecting)
[ ]   24    0    0    1 / 1000     2.1s test_prop_SinglePreserve (collecting)
[ ]   36    0    0    1 / 1000     2.2s test_prop_SinglePreserve (collecting)
[ ]   39    0    0    1 / 1000     2.4s test_prop_SinglePreserve (collecting)
[ ]   48    0    0    3 / 1000     2.5s test_prop_SinglePreserve (collecting)
[ ]   72    0    0    5 / 1000     2.7s test_prop_SinglePreserve (collecting)
[ ]   74    0    0    5 / 1000     3.4s test_prop_SinglePreserve (collecting)
[ ]   83    0    0    5 / 1000     3.5s test_prop_SinglePreserve (collecting)
[ ]   91    0    0    6 / 1000     4.4s test_prop_SinglePreserve (collecting)
[ ]  123    0    0    8 / 1000     4.6s test_prop_SinglePreserve (collecting)
[ ]  128    0    0    8 / 1000     5.4s test_prop_SinglePreserve (collecting)
[ ]  133    0    0    9 / 1000     6.3s test_prop_SinglePreserve (collecting)
[ ]  136    0    0    9 / 1000     6.5s test_prop_SinglePreserve (collecting)
[ ]  162    0    0   11 / 1000     6.6s test_prop_SinglePreserve (collecting)
[ ]  183    0    0   12 / 1000     6.7s test_prop_SinglePreserve (collecting)
[ ]  196    0    0   13 / 1000     6.8s test_prop_SinglePreserve (collecting)
[ ]  201    0    0   13 / 1000     7.1s test_prop_SinglePreserve (collecting)
[ ]  240    0    0   14 / 1000     7.3s test_prop_SinglePreserve (collecting)
[ ]  257    0    0   15 / 1000     9.6s test_prop_SinglePreserve (collecting)
[ ]  279    0    0   16 / 1000    11.9s test_prop_SinglePreserve (collecting)
[ ]  323    0    0   23 / 1000    12.5s test_prop_SinglePreserve (collecting)
[ ]  326    0    0   23 / 1000    12.8s test_prop_SinglePreserve (collecting)
[ ]  346    0    0   25 / 1000    13.6s test_prop_SinglePreserve (collecting)
[ ]  353    0    0   25 / 1000    14.2s test_prop_SinglePreserve (collecting)
[ ]  369    0    0   26 / 1000    16.8s test_prop_SinglePreserve (collecting)
[ ]  405    0    0   28 / 1000    17.4s test_prop_SinglePreserve (collecting)
[ ]  417    0    0   29 / 1000    18.2s test_prop_SinglePreserve (collecting)
[ ]  425    0    0   30 / 1000    18.5s test_prop_SinglePreserve (collecting)
[ ]  443    0    0   30 / 1000    18.6s test_prop_SinglePreserve (collecting)
[ ]  446    0    0   30 / 1000    20.9s test_prop_SinglePreserve (collecting)
[ ]  460    0    0   32 / 1000    21.0s test_prop_SinglePreserve (collecting)
