[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]  966    0    0   67 / 1000    44.1s test_prop_SinglePreserve (collecting)
[ ]  989    0    0   69 / 1000    45.0s test_prop_SinglePreserve (collecting)
[ ] 1001    0    0   69 / 1000    45.3s test_prop_SinglePreserve (collecting)
[ ] 1020    0    0   70 / 1000    47.7s test_prop_SinglePreserve (collecting)
[ ] 1036    0    0   70 / 1000    47.9s test_prop_SinglePreserve (collecting)
[ ] 1073    0    0   73 / 1000    50.1s test_prop_SinglePreserve (collecting)
[ ] 1075    0    0   73 / 1000    50.6s test_prop_SinglePreserve (collecting)
[ ] 1079    0    0   73 / 1000    50.7s test_prop_SinglePreserve (collecting)
[ ] 1104    0    0   76 / 1000    51.0s test_prop_SinglePreserve (collecting)
[ ] 1113    0    0   76 / 1000    51.2s test_prop_SinglePreserve (collecting)
[ ] 1137    0    0   79 / 1000    51.5s test_prop_SinglePreserve (collecting)
[ ] 1160    0    0   81 / 1000    53.7s test_prop_SinglePreserve (collecting)
[ ] 1180    0    0   85 / 1000    54.6s test_prop_SinglePreserve (collecting)
[✓] 1200    0    0   86 / 1000    54.6s test_prop_SinglePreserve
================================================================================
success (ran 1 tests)
|prop_SinglePreserve -> 54508.55]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]    7    0    0    0 / 1000     2.4s test_prop_SinglePreserve (collecting)
[ ]   21    0    0    0 / 1000     3.1s test_prop_SinglePreserve (collecting)
[ ]   25    0    0    0 / 1000     3.8s test_prop_SinglePreserve (collecting)
[ ]   31    0    0    1 / 1000     6.2s test_prop_SinglePreserve (collecting)
[ ]   63    0    0    4 / 1000     6.3s test_prop_SinglePreserve (collecting)
[ ]   84    0    0    5 / 1000     6.4s test_prop_SinglePreserve (collecting)
[ ]   88    0    0    6 / 1000     7.5s test_prop_SinglePreserve (collecting)
[ ]  127    0    0    9 / 1000     7.6s test_prop_SinglePreserve (collecting)
[ ]  164    0    0   12 / 1000     7.7s test_prop_SinglePreserve (collecting)
[ ]  177    0    0   13 / 1000     7.9s test_prop_SinglePreserve (collecting)
[ ]  192    0    0   14 / 1000     8.6s test_prop_SinglePreserve (collecting)
[ ]  222    0    0   16 / 1000     9.2s test_prop_SinglePreserve (collecting)
[ ]  239    0    0   17 / 1000     9.3s test_prop_SinglePreserve (collecting)
[ ]  249    0    0   18 / 1000     9.4s test_prop_SinglePreserve (collecting)
[ ]  261    0    0   20 / 1000    11.7s test_prop_SinglePreserve (collecting)
[ ]  310    0    0   23 / 1000    14.0s test_prop_SinglePreserve (collecting)
[ ]  333    0    0   23 / 1000    14.1s test_prop_SinglePreserve (collecting)
[ ]  347    0    0   24 / 1000    14.3s test_prop_SinglePreserve (collecting)
[ ]  353    0    0   24 / 1000    14.4s test_prop_SinglePreserve (collecting)
[ ]  366    0    0   25 / 1000    15.2s test_prop_SinglePreserve (collecting)
[ ]  382    0    0   28 / 1000    15.3s test_prop_SinglePreserve (collecting)
[ ]  395    0    0   29 / 1000    17.7s test_prop_SinglePreserve (collecting)
[ ]  423    0    0   31 / 1000    18.3s test_prop_SinglePreserve (collecting)
[ ]  439    0    0   32 / 1000    19.3s test_prop_SinglePreserve (collecting)
[ ]  443    0    0   32 / 1000    20.0s test_prop_SinglePreserve (collecting)
[ ]  476    0    0   35 / 1000    22.4s test_prop_SinglePreserve (collecting)
[ ]  485    0    0   35 / 1000    24.6s test_prop_SinglePreserve (collecting)
[ ]  495    0    0   35 / 1000    25.2s test_prop_SinglePreserve (collecting)
[ ]  515    0    0   37 / 1000    25.4s test_prop_SinglePreserve (collecting)
[ ]  529    0    0   39 / 1000    25.6s test_prop_SinglePreserve (collecting)
[ ]  532    0    0   39 / 1000    25.8s test_prop_SinglePreserve (collecting)
[ ]  540    0    0   39 / 1000    28.1s test_prop_SinglePreserve (collecting)
[ ]  546    0    0   39 / 1000    30.4s test_prop_SinglePreserve (collecting)
[ ]  570    0    0   40 / 1000    31.3s test_prop_SinglePreserve (collecting)
[ ]  579    0    0   40 / 1000    31.4s test_prop_SinglePreserve (collecting)
[ ]  609    0    0   43 / 1000    31.6s test_prop_SinglePreserve (collecting)
[ ]  623    0    0   45 / 1000    32.5s test_prop_SinglePreserve (collecting)
[ ]  643    0    0   46 / 1000    32.6s test_prop_SinglePreserve (collecting)
[ ]  658    0    0   47 / 1000    32.7s test_prop_SinglePreserve (collecting)
[ ]  678    0    0   49 / 1000    32.8s test_prop_SinglePreserve (collecting)
[ ]  695    0    0   49 / 1000    33.0s test_prop_SinglePreserve (collecting)
[ ]  701    0    0   49 / 1000    33.8s test_prop_SinglePreserve (collecting)
[ ]  710    0    0   49 / 1000    34.6s test_prop_SinglePreserve (collecting)
[ ]  732    0    0   51 / 1000    35.0s test_prop_SinglePreserve (collecting)
[ ]  767    0    0   54 / 1000    35.1s test_prop_SinglePreserve (collecting)
[ ]  797    0    0   56 / 1000    35.2s test_prop_SinglePreserve (collecting)
[ ]  839    0    0   62 / 1000    35.3s test_prop_SinglePreserve (collecting)
[ ]  853    0    0   64 / 1000    36.1s test_prop_SinglePreserve (collecting)
[ ]  892    0    0   68 / 1000    36.2s test_prop_SinglePreserve (collecting)
[ ]  906    0    0   68 / 1000    36.3s test_prop_SinglePreserve (collecting)
[ ]  916    0    0   68 / 1000    37.2s test_prop_SinglePreserve (collecting)
[ ]  977    0    0   74 / 1000    37.3s test_prop_SinglePreserve (collecting)
[ ]  981    0    0   74 / 1000    38.0s test_prop_SinglePreserve (collecting)
[ ]  997    0    0   74 / 1000    38.1s test_prop_SinglePreserve (collecting)
[ ] 1001    0    0   74 / 1000    38.9s test_prop_SinglePreserve (collecting)
[ ] 1028    0    0   77 / 1000    39.0s test_prop_SinglePreserve (collecting)
[ ] 1081    0    0   83 / 1000    41.3s test_prop_SinglePreserve (collecting)
[ ] 1086    0    0   83 / 1000    44.5s test_prop_SinglePreserve (collecting)
[ ] 1149    0    0   87 / 1000    45.3s test_prop_SinglePreserve (collecting)
[ ] 1154    0    0   88 / 1000    45.4s test_prop_SinglePreserve (collecting)
[ ] 1162    0    0   89 / 1000    47.4s test_prop_SinglePreserve (collecting)
[ ] 1176    0    0   91 / 1000    47.5s test_prop_SinglePreserve (collecting)
[ ] 1177    0    0   91 / 1000    48.1s test_prop_SinglePreserve (collecting)
[ ] 1187    0    0   91 / 1000    48.3s test_prop_SinglePreserve (collecting)
[✓] 1200    0    0   92 / 1000    48.3s test_prop_SinglePreserve
================================================================================
success (ran 1 tests)
|prop_SinglePreserve -> 48122.89]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]   20    0    0    0 / 1000     2.3s test_prop_SinglePreserve (collecting)
[ ]   29    0    0    1 / 1000     3.0s test_prop_SinglePreserve (collecting)
[ ]   52    0    0    1 / 1000     3.1s test_prop_SinglePreserve (collecting)
[ ]   88    0    0    3 / 1000     5.6s test_prop_SinglePreserve (collecting)
[ ]  127    0    0    6 / 1000     5.7s test_prop_SinglePreserve (collecting)
