[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]  230    0    0   24 / 1000    15.3s test_prop_SinglePreserve (collecting)
[ ]  252    0    0   27 / 1000    15.4s test_prop_SinglePreserve (collecting)
[ ]  253    0    0   27 / 1000    16.3s test_prop_SinglePreserve (collecting)
[ ]  287    0    0   28 / 1000    16.7s test_prop_SinglePreserve (collecting)
[ ]  305    0    0   30 / 1000    17.5s test_prop_SinglePreserve (collecting)
[ ]  345    0    0   33 / 1000    18.2s test_prop_SinglePreserve (collecting)
[ ]  351    0    0   33 / 1000    18.5s test_prop_SinglePreserve (collecting)
[ ]  370    0    0   33 / 1000    18.9s test_prop_SinglePreserve (collecting)
[ ]  382    0    0   34 / 1000    19.0s test_prop_SinglePreserve (collecting)
[ ]  385    0    0   34 / 1000    19.8s test_prop_SinglePreserve (collecting)
[ ]  395    0    0   35 / 1000    22.1s test_prop_SinglePreserve (collecting)
[ ]  404    0    0   35 / 1000    22.2s test_prop_SinglePreserve (collecting)
[ ]  418    0    0   35 / 1000    22.3s test_prop_SinglePreserve (collecting)
[ ]  452    0    0   39 / 1000    22.6s test_prop_SinglePreserve (collecting)
[ ]  457    0    0   39 / 1000    22.8s test_prop_SinglePreserve (collecting)
[ ]  492    0    0   41 / 1000    22.9s test_prop_SinglePreserve (collecting)
[ ]  518    0    0   42 / 1000    23.3s test_prop_SinglePreserve (collecting)
[ ]  530    0    0   44 / 1000    24.0s test_prop_SinglePreserve (collecting)
[ ]  545    0    0   46 / 1000    24.3s test_prop_SinglePreserve (collecting)
[ ]  558    0    0   48 / 1000    26.5s test_prop_SinglePreserve (collecting)
[ ]  584    0    0   48 / 1000    26.7s test_prop_SinglePreserve (collecting)
[ ]  599    0    0   50 / 1000    26.8s test_prop_SinglePreserve (collecting)
[ ]  637    0    0   51 / 1000    26.9s test_prop_SinglePreserve (collecting)
[ ]  640    0    0   51 / 1000    27.8s test_prop_SinglePreserve (collecting)
[ ]  656    0    0   52 / 1000    28.6s test_prop_SinglePreserve (collecting)
[ ]  657    0    0   52 / 1000    28.7s test_prop_SinglePreserve (collecting)
[ ]  669    0    0   53 / 1000    29.5s test_prop_SinglePreserve (collecting)
[ ]  676    0    0   54 / 1000    29.6s test_prop_SinglePreserve (collecting)
[ ]  684    0    0   55 / 1000    32.0s test_prop_SinglePreserve (collecting)
[ ]  700    0    0   57 / 1000    32.2s test_prop_SinglePreserve (collecting)
[ ]  710    0    0   58 / 1000    32.3s test_prop_SinglePreserve (collecting)
[ ]  717    0    0   59 / 1000    32.5s test_prop_SinglePreserve (collecting)
[ ]  745    0    0   60 / 1000    33.5s test_prop_SinglePreserve (collecting)
[ ]  777    0    0   61 / 1000    33.6s test_prop_SinglePreserve (collecting)
[ ]  816    0    0   63 / 1000    33.7s test_prop_SinglePreserve (collecting)
[ ]  827    0    0   64 / 1000    33.8s test_prop_SinglePreserve (collecting)
[ ]  836    0    0   66 / 1000    34.5s test_prop_SinglePreserve (collecting)
[ ]  840    0    0   66 / 1000    35.2s test_prop_SinglePreserve (collecting)
[ ]  851    0    0   67 / 1000    37.3s test_prop_SinglePreserve (collecting)
[ ]  862    0    0   67 / 1000    38.1s test_prop_SinglePreserve (collecting)
[ ]  923    0    0   78 / 1000    38.2s test_prop_SinglePreserve (collecting)
[ ]  924    0    0   78 / 1000    39.1s test_prop_SinglePreserve (collecting)
[ ]  929    0    0   78 / 1000    39.8s test_prop_SinglePreserve (collecting)
[ ]  933    0    0   78 / 1000    40.4s test_prop_SinglePreserve (collecting)
[ ]  949    0    0   79 / 1000    40.6s test_prop_SinglePreserve (collecting)
[ ]  953    0    0   79 / 1000    42.8s test_prop_SinglePreserve (collecting)
[ ]  972    0    0   81 / 1000    43.8s test_prop_SinglePreserve (collecting)
[ ]  999    0    0   83 / 1000    45.9s test_prop_SinglePreserve (collecting)
[ ] 1003    0    0   83 / 1000    46.8s test_prop_SinglePreserve (collecting)
[ ] 1029    0    0   84 / 1000    46.9s test_prop_SinglePreserve (collecting)
[ ] 1042    0    0   84 / 1000    47.1s test_prop_SinglePreserve (collecting)
[ ] 1052    0    0   85 / 1000    49.4s test_prop_SinglePreserve (collecting)
[ ] 1059    0    0   85 / 1000    49.5s test_prop_SinglePreserve (collecting)
[ ] 1060    0    0   85 / 1000    49.9s test_prop_SinglePreserve (collecting)
[ ] 1081    0    0   88 / 1000    50.2s test_prop_SinglePreserve (collecting)
[ ] 1091    0    0   90 / 1000    52.4s test_prop_SinglePreserve (collecting)
[ ] 1132    0    0   94 / 1000    53.5s test_prop_SinglePreserve (collecting)
[ ] 1159    0    0   95 / 1000    55.7s test_prop_SinglePreserve (collecting)
[ ] 1170    0    0   96 / 1000    55.8s test_prop_SinglePreserve (collecting)
[ ] 1176    0    0   97 / 1000    55.9s test_prop_SinglePreserve (collecting)
[ ] 1177    0    0   97 / 1000    58.6s test_prop_SinglePreserve (collecting)
[ ] 1182    0    0   97 / 1000    60.7s test_prop_SinglePreserve (collecting)
[ ] 1199    0    0  100 / 1000    60.9s test_prop_SinglePreserve (collecting)
[✓] 1200    0    0  100 / 1000    60.9s test_prop_SinglePreserve
================================================================================
success (ran 1 tests)
|prop_SinglePreserve -> 60790.58]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]   30    0    0    4 / 1000     0.1s test_prop_SinglePreserve (collecting)
[ ]   66    0    0    8 / 1000     0.2s test_prop_SinglePreserve (collecting)
[ ]   88    0    0    9 / 1000     2.4s test_prop_SinglePreserve (collecting)
[ ]   92    0    0    9 / 1000     5.3s test_prop_SinglePreserve (collecting)
[ ]  122    0    0   13 / 1000     5.5s test_prop_SinglePreserve (collecting)
[ ]  155    0    0   17 / 1000     8.2s test_prop_SinglePreserve (collecting)
[ ]  194    0    0   20 / 1000     8.3s test_prop_SinglePreserve (collecting)
[ ]  221    0    0   23 / 1000     8.4s test_prop_SinglePreserve (collecting)
[ ]  232    0    0   24 / 1000     9.1s test_prop_SinglePreserve (collecting)
[ ]  248    0    0   26 / 1000     9.4s test_prop_SinglePreserve (collecting)
[ ]  271    0    0   26 / 1000     9.7s test_prop_SinglePreserve (collecting)
[ ]  297    0    0   29 / 1000     9.9s test_prop_SinglePreserve (collecting)
[ ]  300    0    0   30 / 1000    10.6s test_prop_SinglePreserve (collecting)
[ ]  308    0    0   30 / 1000    10.8s test_prop_SinglePreserve (collecting)
[ ]  349    0    0   33 / 1000    10.9s test_prop_SinglePreserve (collecting)
[ ]  362    0    0   34 / 1000    11.7s test_prop_SinglePreserve (collecting)
[ ]  395    0    0   41 / 1000    11.8s test_prop_SinglePreserve (collecting)
[ ]  402    0    0   41 / 1000    11.9s test_prop_SinglePreserve (collecting)
[ ]  404    0    0   41 / 1000    12.2s test_prop_SinglePreserve (collecting)
[ ]  409    0    0   41 / 1000    13.0s test_prop_SinglePreserve (collecting)
[ ]  418    0    0   42 / 1000    15.4s test_prop_SinglePreserve (collecting)
[ ]  429    0    0   42 / 1000    15.5s test_prop_SinglePreserve (collecting)
[ ]  458    0    0   44 / 1000    16.6s test_prop_SinglePreserve (collecting)
[ ]  504    0    0   48 / 1000    16.7s test_prop_SinglePreserve (collecting)
[ ]  533    0    0   48 / 1000    16.9s test_prop_SinglePreserve (collecting)
[ ]  549    0    0   49 / 1000    17.0s test_prop_SinglePreserve (collecting)
[ ]  579    0    0   55 / 1000    17.1s test_prop_SinglePreserve (collecting)
[ ]  596    0    0   57 / 1000    17.8s test_prop_SinglePreserve (collecting)
[ ]  610    0    0   59 / 1000    18.6s test_prop_SinglePreserve (collecting)
[ ]  639    0    0   60 / 1000    19.0s test_prop_SinglePreserve (collecting)
[ ]  676    0    0   63 / 1000    21.3s test_prop_SinglePreserve (collecting)
[ ]  692    0    0   66 / 1000    22.1s test_prop_SinglePreserve (collecting)
[ ]  719    0    0   72 / 1000    22.4s test_prop_SinglePreserve (collecting)
[ ]  740    0    0   72 / 1000    23.6s test_prop_SinglePreserve (collecting)
[ ]  760    0    0   75 / 1000    23.8s test_prop_SinglePreserve (collecting)
[ ]  767    0    0   75 / 1000    24.5s test_prop_SinglePreserve (collecting)
[ ]  792    0    0   75 / 1000    24.6s test_prop_SinglePreserve (collecting)
[ ]  841    0    0   77 / 1000    24.8s test_prop_SinglePreserve (collecting)
[ ]  868    0    0   81 / 1000    24.9s test_prop_SinglePreserve (collecting)
[ ]  882    0    0   81 / 1000    25.0s test_prop_SinglePreserve (collecting)
[ ]  898    0    0   86 / 1000    25.8s test_prop_SinglePreserve (collecting)
[ ]  911    0    0   88 / 1000    26.0s test_prop_SinglePreserve (collecting)
[ ]  931    0    0   91 / 1000    26.8s test_prop_SinglePreserve (collecting)
